,gene_name,tpm
475,1700109G14Rik,0.41431
476,1700109G15Rik,0.0
477,1700109H08Rik,4.373406
478,1700109I08Rik,0.0
479,1700109K24Rik,0.0
480,1700110C19Rik,2.36997
481,1700110I01Rik,0.0
482,1700110I07Rik,0.0
483,1700110K17Rik,0.75102
484,1700111E14Rik,0.0
485,1700111N16Rik,0.0
486,1700112D23Rik,0.567198
487,1700112H15Rik,0.296264
488,1700112J05Rik,0.0
489,1700112J16Rik,0.23297400000000001
490,1700112K13Rik,0.0
491,1700112M02Rik,0.0
492,1700113A16Rik,0.8041400000000001
493,1700113B09Rik,0.131691
494,1700113H08Rik,0.0
495,1700116B05Rik,0.0
496,1700116H05Rik,0.0143655
497,1700119H24Rik,0.0
498,1700119I11Rik,0.0
499,1700120B22Rik,0.0
500,1700120C14Rik,0.503079
501,1700120C18Rik,0.0
502,1700120E14Rik,0.0
503,1700120G07Rik,0.0
504,1700120G11Rik,0.0
505,1700120K04Rik,0.0
506,1700120O09Rik,0.0
507,1700121C08Rik,0.0
508,1700121L03Rik,0.0
509,1700121L16Rik,0.0
510,1700121N20Rik,0.0
511,1700122C19Rik,0.0843796
512,1700122D07Rik,0.0
513,1700122E12Rik,1.16908
514,1700122H20Rik,0.0
515,1700122O11Rik,0.0
516,1700123J17Rik,0.0
517,1700123K08Rik,0.0
518,1700123L14Rik,0.0
519,1700123M08Rik,2.0349647
520,1700123O12Rik,0.135134
521,1700123O20Rik,13.513628
522,1700123O21Rik,0.0
523,1700124L16Rik,0.5171
524,1700124M09Rik,0.0
525,1700125G02Rik,0.0
526,1700125G22Rik,0.170117
527,1700125H03Rik,0.0
528,1700125H20Rik,0.0
529,1700126A01Rik,0.0
530,1700126G02Rik,0.552502
531,1700126H18Rik,0.0
532,1700127F24Rik,0.0
533,1700128A07Rik,0.0
534,1700128E19Rik,0.0
535,1700128I11Rik,0.0
536,1700129C05Rik,0.0
537,1700129L04Rik,0.0
538,1810006J02Rik,0.0
539,1810007C17Rik,0.0
540,1810007D17Rik,0.0
541,1810008B01Rik,0.0
542,1810008I18Rik,0.10797121
543,1810009A15Rik,48.46003
544,1810009J06Rik,0.0
545,1810010H24Rik,0.503834
546,1810010K12Rik,0.0
547,1810012K08Rik,9.06799
548,1810012K16Rik,0.714191
549,1810013D15Rik,0.2658358
550,1810013L24Rik,30.9928
551,1810014B01Rik,8.531894000000001
552,1810014P07Rik,0.0
553,1810018F18Rik,0.0859528
554,1810019D21Rik,0.0
555,1810019N24Rik,0.677827
556,1810020O05Rik,0.0
557,1810021B22Rik,4.868188988
558,1810024B03Rik,1.094601
559,1810028F09Rik,0.0
560,1810030O07Rik,16.2633
561,1810034E14Rik,2.5758769999999998
562,1810035K13Rik,0.0
563,1810037I17Rik,38.2293
564,1810041H14Rik,1.088598
565,1810044D09Rik,11.781652000000001
566,1810044K17Rik,0.0
567,1810049I09Rik,0.0
568,1810049J17Rik,22.544
569,1810053B23Rik,0.261354
570,1810055G02Rik,4.812354
571,1810058I24Rik,104.8852
572,1810058N15Rik,0.0
573,1810059C17Rik,0.0
574,1810059H22Rik,1.726577
575,1810062G17Rik,0.392499
576,1810062O18Rik,1.424142
577,1810063I02Rik,0.0
578,1810064F22Rik,0.323782
579,1810065E05Rik,0.0
580,1810073O08Rik,0.0
581,2010001A14Rik,9.454203999999999
582,2010001K21Rik,0.6723543000000001
583,2010001M07Rik,0.0
584,2010003K11Rik,0.0
585,2010007H06Rik,0.0217935
586,2010009K17Rik,0.0
587,2010013B24Rik,0.0
588,2010016I18Rik,16.461278217
589,2010103J01Rik,1.16471
590,2010106C02Rik,0.0
591,2010106E10Rik,0.0
592,2010106G04Rik,0.0
593,2010109A12Rik,0.6096922
594,2010110E17Rik,0.00441385
595,2010110G14Rik,0.0
596,2010110K18Rik,0.871352
597,2010203P06Rik,0.0
598,2010204K13Rik,7.71608
599,2010308F09Rik,0.482776
600,2010309G21Rik,0.0
601,2010310C07Rik,0.0
602,2010315B03Rik,9.778683000000001
603,2010320M18Rik,3.6474
604,2010320O07Rik,4.81765
605,2200002D01Rik,0.0
606,2200002J24Rik,0.436759
607,2210010C04Rik,0.243758
608,2210011K15Rik,0.0688605
609,2210016F16Rik,3.83358
610,2210016L21Rik,23.246789
611,2210017I01Rik,0.245229
612,2210020O09Rik,0.0
613,2210022D18Rik,0.198598
614,2210039B01Rik,0.0
615,2210404E10Rik,0.0
616,2210406O10Rik,0.8436330000000001
617,2210408F21Rik,8.275993
618,2210408I21Rik,0.954753
619,2210409D07Rik,0.0
620,2210411M09Rik,0.0
621,2210414B05Rik,0.0
622,2210414F02Rik,0.0
623,2210417A02Rik,0.0
624,2210418O10Rik,3.584334
625,2210420H20Rik,0.277726
626,2300002M23Rik,0.0
627,2300003K06Rik,0.0
628,2300009A05Rik,21.616284
629,2310001H17Rik,0.37597420000000004
630,2310001K24Rik,0.462284
631,2310002D06Rik,0.0
632,2310002F09Rik,0.0
633,2310002L09Rik,0.0731947
634,2310003L06Rik,0.0
635,2310003N18Rik,0.0
636,2310005A03Rik,0.278602
637,2310005E17Rik,0.0
638,2310008N11Rik,0.0
639,2310009B15Rik,38.030038
640,2310010J17Rik,4.637059
